District,Year,Zn_%,Fe_%,Cu_%,Mn_%,B_%,S_%,Projected_Price_INR_per_Acre
Chittoor,2025,80.51,78.19,99.77,91.82,89.04,88.62,1791050.2
Chittoor,2024,80.51,78.19,99.77,91.82,89.04,88.62,1696784.4
Chittoor,2023,80.51,78.19,99.77,91.82,89.04,88.62,1602518.6
Chittoor,2022,80.51,78.19,99.77,91.82,89.04,88.62,1508252.8
Chittoor,2021,80.51,78.19,99.77,91.82,89.04,88.62,1413987
Chittoor,2025,80.51,78.19,99.77,91.82,89.04,88.62,1967770.15
Chittoor,2024,80.51,78.19,99.77,91.82,89.04,88.62,1864203.3
Chittoor,2023,80.51,78.19,99.77,91.82,89.04,88.62,1760636.45
Chittoor,2022,80.51,78.19,99.77,91.82,89.04,88.62,1657069.6
Chittoor,2021,80.51,78.19,99.77,91.82,89.04,88.62,1553502.75
East Godavari,2025,79.27,88.14,95.54,97.24,88.05,95.67,1615476.9
East Godavari,2024,79.27,88.14,95.54,97.24,88.05,95.67,1530451.8
East Godavari,2023,79.27,88.14,95.54,97.24,88.05,95.67,1445426.7
East Godavari,2022,79.27,88.14,95.54,97.24,88.05,95.67,1360401.6
East Godavari,2021,79.27,88.14,95.54,97.24,88.05,95.67,1275376.5
East Godavari,2025,79.27,88.14,95.54,97.24,88.05,95.67,1677188.9
East Godavari,2024,79.27,88.14,95.54,97.24,88.05,95.67,1588915.8
East Godavari,2023,79.27,88.14,95.54,97.24,88.05,95.67,1500642.7
East Godavari,2022,79.27,88.14,95.54,97.24,88.05,95.67,1412369.6
East Godavari,2021,79.27,88.14,95.54,97.24,88.05,95.67,1324096.5
East Godavari,2025,79.27,88.14,95.54,97.24,88.05,95.67,1761620.15
East Godavari,2024,79.27,88.14,95.54,97.24,88.05,95.67,1668903.3
East Godavari,2023,79.27,88.14,95.54,97.24,88.05,95.67,1576186.45
East Godavari,2022,79.27,88.14,95.54,97.24,88.05,95.67,1483469.6
East Godavari,2021,79.27,88.14,95.54,97.24,88.05,95.67,1390752.75
East Godavari,2025,79.27,88.14,95.54,97.24,88.05,95.67,1874946.6
East Godavari,2024,79.27,88.14,95.54,97.24,88.05,95.67,1776265.2
East Godavari,2023,79.27,88.14,95.54,97.24,88.05,95.67,1677583.8
East Godavari,2022,79.27,88.14,95.54,97.24,88.05,95.67,1578902.4
East Godavari,2021,79.27,88.14,95.54,97.24,88.05,95.67,1480221
East Godavari,2025,79.27,88.14,95.54,97.24,88.05,95.67,1969605.55
East Godavari,2024,79.27,88.14,95.54,97.24,88.05,95.67,1865942.1
East Godavari,2023,79.27,88.14,95.54,97.24,88.05,95.67,1762278.65
East Godavari,2022,79.27,88.14,95.54,97.24,88.05,95.67,1658615.2
East Godavari,2021,79.27,88.14,95.54,97.24,88.05,95.67,1554951.75
Guntur,2025,58.3,71.16,98.86,91.4,86.15,86.81,1709317.9
Guntur,2024,58.3,71.16,98.86,91.4,86.15,86.81,1619353.8
Guntur,2023,58.3,71.16,98.86,91.4,86.15,86.81,1529389.7
Guntur,2022,58.3,71.16,98.86,91.4,86.15,86.81,1439425.6
Guntur,2021,58.3,71.16,98.86,91.4,86.15,86.81,1349461.5
Guntur,2025,58.3,71.16,98.86,91.4,86.15,86.81,1852937
Guntur,2024,58.3,71.16,98.86,91.4,86.15,86.81,1755414
Guntur,2023,58.3,71.16,98.86,91.4,86.15,86.81,1657891
Guntur,2022,58.3,71.16,98.86,91.4,86.15,86.81,1560368
Guntur,2021,58.3,71.16,98.86,91.4,86.15,86.81,1462845
Guntur,2025,58.3,71.16,98.86,91.4,86.15,86.81,2018284.5
Guntur,2024,58.3,71.16,98.86,91.4,86.15,86.81,1912059
Guntur,2023,58.3,71.16,98.86,91.4,86.15,86.81,1805833.5
Guntur,2022,58.3,71.16,98.86,91.4,86.15,86.81,1699608
Guntur,2021,58.3,71.16,98.86,91.4,86.15,86.81,1593382.5
Guntur,2025,58.3,71.16,98.86,91.4,86.15,86.81,2187714.15
Guntur,2024,58.3,71.16,98.86,91.4,86.15,86.81,2072571.3
Guntur,2023,58.3,71.16,98.86,91.4,86.15,86.81,1957428.45
Guntur,2022,58.3,71.16,98.86,91.4,86.15,86.81,1842285.6
Guntur,2021,58.3,71.16,98.86,91.4,86.15,86.81,1727142.75
Guntur,2025,58.3,71.16,98.86,91.4,86.15,86.81,2350210.7
Guntur,2024,58.3,71.16,98.86,91.4,86.15,86.81,2226515.4
Guntur,2023,58.3,71.16,98.86,91.4,86.15,86.81,2102820.1
Guntur,2022,58.3,71.16,98.86,91.4,86.15,86.81,1979124.8
Guntur,2021,58.3,71.16,98.86,91.4,86.15,86.81,1855429.5
Krishna,2025,78.62,82.02,98.05,95.23,65.78,98.56,1792704.15
Krishna,2024,78.62,82.02,98.05,95.23,65.78,98.56,1698351.3
Krishna,2023,78.62,82.02,98.05,95.23,65.78,98.56,1603998.45
Krishna,2022,78.62,82.02,98.05,95.23,65.78,98.56,1509645.6
Krishna,2021,78.62,82.02,98.05,95.23,65.78,98.56,1415292.75
Krishna,2025,78.62,82.02,98.05,95.23,65.78,98.56,1908077.85
Krishna,2024,78.62,82.02,98.05,95.23,65.78,98.56,1807652.7
Krishna,2023,78.62,82.02,98.05,95.23,65.78,98.56,1707227.55
Krishna,2022,78.62,82.02,98.05,95.23,65.78,98.56,1606802.4
Krishna,2021,78.62,82.02,98.05,95.23,65.78,98.56,1506377.25
Krishna,2025,78.62,82.02,98.05,95.23,65.78,98.56,1977502.9
Krishna,2024,78.62,82.02,98.05,95.23,65.78,98.56,1873423.8
Krishna,2023,78.62,82.02,98.05,95.23,65.78,98.56,1769344.7
Krishna,2022,78.62,82.02,98.05,95.23,65.78,98.56,1665265.6
Krishna,2021,78.62,82.02,98.05,95.23,65.78,98.56,1561186.5
Krishna,2025,78.62,82.02,98.05,95.23,65.78,98.56,2012170.3
Krishna,2024,78.62,82.02,98.05,95.23,65.78,98.56,1906266.6
Krishna,2023,78.62,82.02,98.05,95.23,65.78,98.56,1800362.9
Krishna,2022,78.62,82.02,98.05,95.23,65.78,98.56,1694459.2
Krishna,2021,78.62,82.02,98.05,95.23,65.78,98.56,1588555.5
Krishna,2025,78.62,82.02,98.05,95.23,65.78,98.56,2254859.2
Krishna,2024,78.62,82.02,98.05,95.23,65.78,98.56,2136182.4
Krishna,2023,78.62,82.02,98.05,95.23,65.78,98.56,2017505.6
Krishna,2022,78.62,82.02,98.05,95.23,65.78,98.56,1898828.8
Krishna,2021,78.62,82.02,98.05,95.23,65.78,98.56,1780152
Kurnool,2025,60.7,48.45,97.47,91.34,92.75,96.05,1870828.35
Kurnool,2024,60.7,48.45,97.47,91.34,92.75,96.05,1772363.7
Kurnool,2023,60.7,48.45,97.47,91.34,92.75,96.05,1673899.05
Kurnool,2022,60.7,48.45,97.47,91.34,92.75,96.05,1575434.4
Kurnool,2021,60.7,48.45,97.47,91.34,92.75,96.05,1476969.75
Kurnool,2025,60.7,48.45,97.47,91.34,92.75,96.05,2072052.6
Kurnool,2024,60.7,48.45,97.47,91.34,92.75,96.05,1962997.2
Kurnool,2023,60.7,48.45,97.47,91.34,92.75,96.05,1853941.8
Kurnool,2022,60.7,48.45,97.47,91.34,92.75,96.05,1744886.4
Kurnool,2021,60.7,48.45,97.47,91.34,92.75,96.05,1635831
Kurnool,2025,60.7,48.45,97.47,91.34,92.75,96.05,2214746.4
Kurnool,2024,60.7,48.45,97.47,91.34,92.75,96.05,2098180.8
Kurnool,2023,60.7,48.45,97.47,91.34,92.75,96.05,1981615.2
Kurnool,2022,60.7,48.45,97.47,91.34,92.75,96.05,1865049.6
Kurnool,2021,60.7,48.45,97.47,91.34,92.75,96.05,1748484
Kurnool,2025,60.7,48.45,97.47,91.34,92.75,96.05,2380550.85
Kurnool,2024,60.7,48.45,97.47,91.34,92.75,96.05,2255258.7
Kurnool,2023,60.7,48.45,97.47,91.34,92.75,96.05,2129966.55
Kurnool,2022,60.7,48.45,97.47,91.34,92.75,96.05,2004674.4
Kurnool,2021,60.7,48.45,97.47,91.34,92.75,96.05,1879382.25
Kurnool,2025,60.7,48.45,97.47,91.34,92.75,96.05,2394464.55
Kurnool,2024,60.7,48.45,97.47,91.34,92.75,96.05,2268440.1
Kurnool,2023,60.7,48.45,97.47,91.34,92.75,96.05,2142415.65
Kurnool,2022,60.7,48.45,97.47,91.34,92.75,96.05,2016391.2
Kurnool,2021,60.7,48.45,97.47,91.34,92.75,96.05,1890366.75
Prakasam,2025,40.66,59.14,94.65,82.17,73.99,69.54,2001899.85
Prakasam,2024,40.66,59.14,94.65,82.17,73.99,69.54,1896536.7
Prakasam,2023,40.66,59.14,94.65,82.17,73.99,69.54,1791173.55
Prakasam,2022,40.66,59.14,94.65,82.17,73.99,69.54,1685810.4
Prakasam,2021,40.66,59.14,94.65,82.17,73.99,69.54,1580447.25
Prakasam,2025,40.66,59.14,94.65,82.17,73.99,69.54,2037141.05
Prakasam,2024,40.66,59.14,94.65,82.17,73.99,69.54,1929923.1
Prakasam,2023,40.66,59.14,94.65,82.17,73.99,69.54,1822705.15
Prakasam,2022,40.66,59.14,94.65,82.17,73.99,69.54,1715487.2
Prakasam,2021,40.66,59.14,94.65,82.17,73.99,69.54,1608269.25
Prakasam,2025,40.66,59.14,94.65,82.17,73.99,69.54,2232619.7
Prakasam,2024,40.66,59.14,94.65,82.17,73.99,69.54,2115113.4
Prakasam,2023,40.66,59.14,94.65,82.17,73.99,69.54,1997607.1
Prakasam,2022,40.66,59.14,94.65,82.17,73.99,69.54,1880100.8
Prakasam,2021,40.66,59.14,94.65,82.17,73.99,69.54,1762594.5
Prakasam,2025,40.66,59.14,94.65,82.17,73.99,69.54,2468598.75
Prakasam,2024,40.66,59.14,94.65,82.17,73.99,69.54,2338672.5
Prakasam,2023,40.66,59.14,94.65,82.17,73.99,69.54,2208746.25
Prakasam,2022,40.66,59.14,94.65,82.17,73.99,69.54,2078820
Prakasam,2021,40.66,59.14,94.65,82.17,73.99,69.54,1948893.75
Prakasam,2025,40.66,59.14,94.65,82.17,73.99,69.54,2455154.35
Prakasam,2024,40.66,59.14,94.65,82.17,73.99,69.54,2325935.7
Prakasam,2023,40.66,59.14,94.65,82.17,73.99,69.54,2196717.05
Prakasam,2022,40.66,59.14,94.65,82.17,73.99,69.54,2067498.4
Prakasam,2021,40.66,59.14,94.65,82.17,73.99,69.54,1938279.75
Nellore,2025,39.58,55.37,80.72,79.83,77.23,87.61,2084195.5
Nellore,2024,39.58,55.37,80.72,79.83,77.23,87.61,1974501
Nellore,2023,39.58,55.37,80.72,79.83,77.23,87.61,1864806.5
Nellore,2022,39.58,55.37,80.72,79.83,77.23,87.61,1755112
Nellore,2021,39.58,55.37,80.72,79.83,77.23,87.61,1645417.5
Nellore,2025,39.58,55.37,80.72,79.83,77.23,87.61,2163304.85
Nellore,2024,39.58,55.37,80.72,79.83,77.23,87.61,2049446.7
Nellore,2023,39.58,55.37,80.72,79.83,77.23,87.61,1935588.55
Nellore,2022,39.58,55.37,80.72,79.83,77.23,87.61,1821730.4
Nellore,2021,39.58,55.37,80.72,79.83,77.23,87.61,1707872.25
Nellore,2025,39.58,55.37,80.72,79.83,77.23,87.61,2356639.35
Nellore,2024,39.58,55.37,80.72,79.83,77.23,87.61,2232605.7
Nellore,2023,39.58,55.37,80.72,79.83,77.23,87.61,2108572.05
Nellore,2022,39.58,55.37,80.72,79.83,77.23,87.61,1984538.4
Nellore,2021,39.58,55.37,80.72,79.83,77.23,87.61,1860504.75
Nellore,2025,39.58,55.37,80.72,79.83,77.23,87.61,2558540.95
Nellore,2024,39.58,55.37,80.72,79.83,77.23,87.61,2423880.9
Nellore,2023,39.58,55.37,80.72,79.83,77.23,87.61,2289220.85
Nellore,2022,39.58,55.37,80.72,79.83,77.23,87.61,2154560.8
Nellore,2021,39.58,55.37,80.72,79.83,77.23,87.61,2019900.75
Nellore,2025,39.58,55.37,80.72,79.83,77.23,87.61,2559889
Nellore,2024,39.58,55.37,80.72,79.83,77.23,87.61,2425158
Nellore,2023,39.58,55.37,80.72,79.83,77.23,87.61,2290427
Nellore,2022,39.58,55.37,80.72,79.83,77.23,87.61,2155696
Nellore,2021,39.58,55.37,80.72,79.83,77.23,87.61,2020965
Srikakulam,2025,81.05,75.77,98.85,91.31,96.76,94.45,2177423.75
Srikakulam,2024,81.05,75.77,98.85,91.31,96.76,94.45,2062822.5
Srikakulam,2023,81.05,75.77,98.85,91.31,96.76,94.45,1948221.25
Srikakulam,2022,81.05,75.77,98.85,91.31,96.76,94.45,1833620
Srikakulam,2021,81.05,75.77,98.85,91.31,96.76,94.45,1719018.75
Srikakulam,2025,81.05,75.77,98.85,91.31,96.76,94.45,2299190.95
Srikakulam,2024,81.05,75.77,98.85,91.31,96.76,94.45,2178180.9
Srikakulam,2023,81.05,75.77,98.85,91.31,96.76,94.45,2057170.85
Srikakulam,2022,81.05,75.77,98.85,91.31,96.76,94.45,1936160.8
Srikakulam,2021,81.05,75.77,98.85,91.31,96.76,94.45,1815150.75
Srikakulam,2025,81.05,75.77,98.85,91.31,96.76,94.45,2353276.35
Srikakulam,2024,81.05,75.77,98.85,91.31,96.76,94.45,2229419.7
Srikakulam,2023,81.05,75.77,98.85,91.31,96.76,94.45,2105563.05
Srikakulam,2022,81.05,75.77,98.85,91.31,96.76,94.45,1981706.4
Srikakulam,2021,81.05,75.77,98.85,91.31,96.76,94.45,1857849.75
Srikakulam,2025,81.05,75.77,98.85,91.31,96.76,94.45,2521225.9
Srikakulam,2024,81.05,75.77,98.85,91.31,96.76,94.45,2388529.8
Srikakulam,2023,81.05,75.77,98.85,91.31,96.76,94.45,2255833.7
Srikakulam,2022,81.05,75.77,98.85,91.31,96.76,94.45,2123137.6
Srikakulam,2021,81.05,75.77,98.85,91.31,96.76,94.45,1990441.5
Srikakulam,2025,81.05,75.77,98.85,91.31,96.76,94.45,2707216.9
Srikakulam,2024,81.05,75.77,98.85,91.31,96.76,94.45,2564731.8
Srikakulam,2023,81.05,75.77,98.85,91.31,96.76,94.45,2422246.7
Srikakulam,2022,81.05,75.77,98.85,91.31,96.76,94.45,2279761.6
Srikakulam,2021,81.05,75.77,98.85,91.31,96.76,94.45,2137276.5
Visakhapatanam,2025,58.7,64.93,96.44,78.35,85.4,88.29,1465152.7
Visakhapatanam,2024,58.7,64.93,96.44,78.35,85.4,88.29,1388039.4
Visakhapatanam,2023,58.7,64.93,96.44,78.35,85.4,88.29,1310926.1
Visakhapatanam,2022,58.7,64.93,96.44,78.35,85.4,88.29,1233812.8
Visakhapatanam,2021,58.7,64.93,96.44,78.35,85.4,88.29,1156699.5
Visakhapatanam,2025,58.7,64.93,96.44,78.35,85.4,88.29,1560023.5
Visakhapatanam,2024,58.7,64.93,96.44,78.35,85.4,88.29,1477917
Visakhapatanam,2023,58.7,64.93,96.44,78.35,85.4,88.29,1395810.5
Visakhapatanam,2022,58.7,64.93,96.44,78.35,85.4,88.29,1313704
Visakhapatanam,2021,58.7,64.93,96.44,78.35,85.4,88.29,1231597.5
Visakhapatanam,2025,58.7,64.93,96.44,78.35,85.4,88.29,1648518.85
Visakhapatanam,2024,58.7,64.93,96.44,78.35,85.4,88.29,1561754.7
Visakhapatanam,2023,58.7,64.93,96.44,78.35,85.4,88.29,1474990.55
Visakhapatanam,2022,58.7,64.93,96.44,78.35,85.4,88.29,1388226.4
Visakhapatanam,2021,58.7,64.93,96.44,78.35,85.4,88.29,1301462.25
Visakhapatanam,2025,58.7,64.93,96.44,78.35,85.4,88.29,1629237.65
Visakhapatanam,2024,58.7,64.93,96.44,78.35,85.4,88.29,1543488.3
Visakhapatanam,2023,58.7,64.93,96.44,78.35,85.4,88.29,1457738.95
Visakhapatanam,2022,58.7,64.93,96.44,78.35,85.4,88.29,1371989.6
Visakhapatanam,2021,58.7,64.93,96.44,78.35,85.4,88.29,1286240.25
Visakhapatanam,2025,58.7,64.93,96.44,78.35,85.4,88.29,1786706.8
Visakhapatanam,2024,58.7,64.93,96.44,78.35,85.4,88.29,1692669.6
Visakhapatanam,2023,58.7,64.93,96.44,78.35,85.4,88.29,1598632.4
Visakhapatanam,2022,58.7,64.93,96.44,78.35,85.4,88.29,1504595.2
Visakhapatanam,2021,58.7,64.93,96.44,78.35,85.4,88.29,1410558
Vizianagaram,2025,61.6,93.71,95.22,98.34,79.43,87.59,1518618.7
Vizianagaram,2024,61.6,93.71,95.22,98.34,79.43,87.59,1438691.4
Vizianagaram,2023,61.6,93.71,95.22,98.34,79.43,87.59,1358764.1
Vizianagaram,2022,61.6,93.71,95.22,98.34,79.43,87.59,1278836.8
Vizianagaram,2021,61.6,93.71,95.22,98.34,79.43,87.59,1198909.5
Vizianagaram,2025,61.6,93.71,95.22,98.34,79.43,87.59,1600768.05
Vizianagaram,2024,61.6,93.71,95.22,98.34,79.43,87.59,1516517.1
Vizianagaram,2023,61.6,93.71,95.22,98.34,79.43,87.59,1432266.15
Vizianagaram,2022,61.6,93.71,95.22,98.34,79.43,87.59,1348015.2
Vizianagaram,2021,61.6,93.71,95.22,98.34,79.43,87.59,1263764.25
Vizianagaram,2025,61.6,93.71,95.22,98.34,79.43,87.59,1655560.25
Vizianagaram,2024,61.6,93.71,95.22,98.34,79.43,87.59,1568425.5
Vizianagaram,2023,61.6,93.71,95.22,98.34,79.43,87.59,1481290.75
Vizianagaram,2022,61.6,93.71,95.22,98.34,79.43,87.59,1394156
Vizianagaram,2021,61.6,93.71,95.22,98.34,79.43,87.59,1307021.25
Vizianagaram,2025,61.6,93.71,95.22,98.34,79.43,87.59,1748429.4
Vizianagaram,2024,61.6,93.71,95.22,98.34,79.43,87.59,1656406.8
Vizianagaram,2023,61.6,93.71,95.22,98.34,79.43,87.59,1564384.2
Vizianagaram,2022,61.6,93.71,95.22,98.34,79.43,87.59,1472361.6
Vizianagaram,2021,61.6,93.71,95.22,98.34,79.43,87.59,1380339
Vizianagaram,2025,61.6,93.71,95.22,98.34,79.43,87.59,1893190.4
Vizianagaram,2024,61.6,93.71,95.22,98.34,79.43,87.59,1793548.8
Vizianagaram,2023,61.6,93.71,95.22,98.34,79.43,87.59,1693907.2
Vizianagaram,2022,61.6,93.71,95.22,98.34,79.43,87.59,1594265.6
Vizianagaram,2021,61.6,93.71,95.22,98.34,79.43,87.59,1494624
West Godavari,2025,67.36,87.69,96.54,96.76,87.74,88.24,1654262.55
West Godavari,2024,67.36,87.69,96.54,96.76,87.74,88.24,1567196.1
West Godavari,2023,67.36,87.69,96.54,96.76,87.74,88.24,1480129.65
West Godavari,2022,67.36,87.69,96.54,96.76,87.74,88.24,1393063.2
West Godavari,2021,67.36,87.69,96.54,96.76,87.74,88.24,1305996.75
West Godavari,2025,67.36,87.69,96.54,96.76,87.74,88.24,1693894.65
West Godavari,2024,67.36,87.69,96.54,96.76,87.74,88.24,1604742.3
West Godavari,2023,67.36,87.69,96.54,96.76,87.74,88.24,1515589.95
West Godavari,2022,67.36,87.69,96.54,96.76,87.74,88.24,1426437.6
West Godavari,2021,67.36,87.69,96.54,96.76,87.74,88.24,1337285.25
West Godavari,2025,67.36,87.69,96.54,96.76,87.74,88.24,1861736.85
West Godavari,2024,67.36,87.69,96.54,96.76,87.74,88.24,1763750.7
West Godavari,2023,67.36,87.69,96.54,96.76,87.74,88.24,1665764.55
West Godavari,2022,67.36,87.69,96.54,96.76,87.74,88.24,1567778.4
West Godavari,2021,67.36,87.69,96.54,96.76,87.74,88.24,1469792.25
West Godavari,2025,67.36,87.69,96.54,96.76,87.74,88.24,1989373.15
West Godavari,2024,67.36,87.69,96.54,96.76,87.74,88.24,1884669.3
West Godavari,2023,67.36,87.69,96.54,96.76,87.74,88.24,1779965.45
West Godavari,2022,67.36,87.69,96.54,96.76,87.74,88.24,1675261.6
West Godavari,2021,67.36,87.69,96.54,96.76,87.74,88.24,1570557.75
West Godavari,2025,67.36,87.69,96.54,96.76,87.74,88.24,2228162.3
West Godavari,2024,67.36,87.69,96.54,96.76,87.74,88.24,2110890.6
West Godavari,2023,67.36,87.69,96.54,96.76,87.74,88.24,1993618.9
West Godavari,2022,67.36,87.69,96.54,96.76,87.74,88.24,1876347.2
West Godavari,2021,67.36,87.69,96.54,96.76,87.74,88.24,1759075.5
Y.S.R.,2025,68.61,67.42,92.82,92.72,71.8,86.46,1724693.65
Y.S.R.,2024,68.61,67.42,92.82,92.72,71.8,86.46,1633920.3
Y.S.R.,2023,68.61,67.42,92.82,92.72,71.8,86.46,1543146.95
Y.S.R.,2022,68.61,67.42,92.82,92.72,71.8,86.46,1452373.6
Y.S.R.,2021,68.61,67.42,92.82,92.72,71.8,86.46,1361600.25
Y.S.R.,2025,68.61,67.42,92.82,92.72,71.8,86.46,1838117.95
Y.S.R.,2024,68.61,67.42,92.82,92.72,71.8,86.46,1741374.9
Y.S.R.,2023,68.61,67.42,92.82,92.72,71.8,86.46,1644631.85
Y.S.R.,2022,68.61,67.42,92.82,92.72,71.8,86.46,1547888.8
Y.S.R.,2021,68.61,67.42,92.82,92.72,71.8,86.46,1451145.75
Y.S.R.,2025,68.61,67.42,92.82,92.72,71.8,86.46,1982185.45
Y.S.R.,2024,68.61,67.42,92.82,92.72,71.8,86.46,1877859.9
Y.S.R.,2023,68.61,67.42,92.82,92.72,71.8,86.46,1773534.35
Y.S.R.,2022,68.61,67.42,92.82,92.72,71.8,86.46,1669208.8
Y.S.R.,2021,68.61,67.42,92.82,92.72,71.8,86.46,1564883.25
Y.S.R.,2025,68.61,67.42,92.82,92.72,71.8,86.46,2203325.5
Y.S.R.,2024,68.61,67.42,92.82,92.72,71.8,86.46,2087361
Y.S.R.,2023,68.61,67.42,92.82,92.72,71.8,86.46,1971396.5
Y.S.R.,2022,68.61,67.42,92.82,92.72,71.8,86.46,1855432
Y.S.R.,2021,68.61,67.42,92.82,92.72,71.8,86.46,1739467.5
Y.S.R.,2025,68.61,67.42,92.82,92.72,71.8,86.46,2382271.3
Y.S.R.,2024,68.61,67.42,92.82,92.72,71.8,86.46,2256888.6
Y.S.R.,2023,68.61,67.42,92.82,92.72,71.8,86.46,2131505.9
Y.S.R.,2022,68.61,67.42,92.82,92.72,71.8,86.46,2006123.2
Y.S.R.,2021,68.61,67.42,92.82,92.72,71.8,86.46,1880740.5
Nicobars,2025,71.52,98.79,93.03,99.7,100,0.3,1797628
Nicobars,2024,71.52,98.79,93.03,99.7,100,0.3,1703016
Nicobars,2023,71.52,98.79,93.03,99.7,100,0.3,1608404
Nicobars,2022,71.52,98.79,93.03,99.7,100,0.3,1513792
Nicobars,2021,71.52,98.79,93.03,99.7,100,0.3,1419180
Nicobars,2025,71.52,98.79,93.03,99.7,100,0.3,1956599.1
Nicobars,2024,71.52,98.79,93.03,99.7,100,0.3,1853620.2
Nicobars,2023,71.52,98.79,93.03,99.7,100,0.3,1750641.3
Nicobars,2022,71.52,98.79,93.03,99.7,100,0.3,1647662.4
Nicobars,2021,71.52,98.79,93.03,99.7,100,0.3,1544683.5
Nicobars,2025,71.52,98.79,93.03,99.7,100,0.3,2150756.3
Nicobars,2024,71.52,98.79,93.03,99.7,100,0.3,2037558.6
Nicobars,2023,71.52,98.79,93.03,99.7,100,0.3,1924360.9
Nicobars,2022,71.52,98.79,93.03,99.7,100,0.3,1811163.2
Nicobars,2021,71.52,98.79,93.03,99.7,100,0.3,1697965.5
Nicobars,2025,71.52,98.79,93.03,99.7,100,0.3,2041161.45
Nicobars,2024,71.52,98.79,93.03,99.7,100,0.3,1933731.9
Nicobars,2023,71.52,98.79,93.03,99.7,100,0.3,1826302.35
Nicobars,2022,71.52,98.79,93.03,99.7,100,0.3,1718872.8
Nicobars,2021,71.52,98.79,93.03,99.7,100,0.3,1611443.25
Nicobars,2025,71.52,98.79,93.03,99.7,100,0.3,2320817.7
Nicobars,2024,71.52,98.79,93.03,99.7,100,0.3,2198669.4
Nicobars,2023,71.52,98.79,93.03,99.7,100,0.3,2076521.1
Nicobars,2022,71.52,98.79,93.03,99.7,100,0.3,1954372.8
Nicobars,2021,71.52,98.79,93.03,99.7,100,0.3,1832224.5
North And Middle Andaman,2025,93.36,100,83.19,100,90.78,0.23,1885643.6
North And Middle Andaman,2024,93.36,100,83.19,100,90.78,0.23,1786399.2
North And Middle Andaman,2023,93.36,100,83.19,100,90.78,0.23,1687154.8
North And Middle Andaman,2022,93.36,100,83.19,100,90.78,0.23,1587910.4
North And Middle Andaman,2021,93.36,100,83.19,100,90.78,0.23,1488666
North And Middle Andaman,2025,93.36,100,83.19,100,90.78,0.23,2063065.6
